Classifier,Sudoku,Golomb,ET,NR
NB,0.630756994,1,0.95912612,0.941984117
CN2,0.974060243,1,0.905883392,0.987813364
Count-CP,1,1,0.905883392,1
DT,0.974813028,1,0.903691668,0.957346775
KNN,0.940880721,1,0.905426621,0.932507865
MLP,0.989680699,1,0.924314232,0.940106746
RF,0.980562525,1,0.910512077,0.958722685
