Metric,0,5,10,15,20
CN2,0.9740602433038472,0.726074245,0.7615907310868499,0.7357421790232759,0.7460019987049678
CategoricalNB,0.6307569940270612,0.639109461,0.6443661311078684,0.648657301484459,0.6546235705996601
DT,0.9748130279082546,0.973540271,0.9623116435741887,0.976269987788373,0.9663141163673156
KNN,0.940880721373482,0.943620288,0.94082041209618,0.9427775234535224,0.942968904230643
MLP,0.9896806992546796,0.999960606,0.9999628151416744,1.0,0.9969132844730768
countcp,1.0,0.0,0.0,0.0,0.0
random_forest,0.9805625251555298,0.987900837,0.9962203098484816,0.9976402241325036,0.9921683791280124
