Metric,0,5,10,15,20
CN2,1.0,0.724641576,0.8940844359926163,0.9074496667486062,0.8722432489701685
CategoricalNB,0.8931057853565961,0.893105785,0.8888901273587563,0.8884112001556911,0.892626858153531
DT,0.9898740864282436,0.989874086,0.997422087902896,1.0,1.0
KNN,0.9961968138494176,0.909880496,0.8247585437729213,0.7778965802180275,0.7119933521465625
MLP,0.891831457343969,0.850755595,0.8331929643113087,0.830683412114134,0.8247514042842929
countcp,1.0,0.013008373,0.0,0.0,0.0
random_forest,0.9999914617486338,0.999402951,0.998163798877872,0.982654721201368,0.9854076058422618
