Metric,0,5,10,15,20
CN2,0.9409420686930826,0.95590149,0.952141963,0.950291116,0.955428057
CategoricalNB,0.9860697941373228,0.992792629,0.994435414,0.994702419,0.994992713
DT,0.985132932483338,0.992613118,0.967517046,0.980111734,0.980111734
KNN,0.9666146656619226,0.966614666,0.966614666,0.96674238,0.967036578
MLP,0.9812798938221522,0.98709276,0.977821674,0.992050346,0.989453849
countcp,0.807117471214834,0.807117471,0.807117471,0.807117471,0.807117471
random_forest,0.9705029308019506,0.967575189,0.976758014,0.988328374,0.982202837
