Metric,0,5,10,15,20
CN2,0.9058833916496322,0.412529287,0.407653115,0.410077023,0.396527016
CategoricalNB,0.9591261199984128,0.923739266,0.923739266,0.896014944,0.858864335
DT,0.9036916679982044,0.899973777,0.903691668,0.902243556,0.901135833
KNN,0.9054266205621664,0.904682423,0.905426621,0.90508073,0.904092942
MLP,0.9243142317022336,0.931763126,0.948022583,0.960116277,0.967024037
countcp,0.9058833916496322,0.905883392,0.905883392,0.905883392,0.905883392
random_forest,0.9105120773062076,0.903973471,0.901568855,0.888999702,0.889630056
