Metric,0,5,10,15,20
CN2,1.0,0.572975683,0.564646681,0.583814559,0.602042136
CategoricalNB,0.8931057853565961,0.899404225,0.899404225,0.899404225,0.909343024
DT,0.9898740864282436,1.0,0.989874086,1.0,1.0
KNN,0.9961968138494176,0.996196814,0.996196814,0.996196814,0.996196814
MLP,0.891831457343969,0.92163637,0.908560987,0.902741212,0.906688298
countcp,1.0,1.0,1.0,1.0,1.0
random_forest,0.9999914617486338,1.0,1.0,1.0,1.0
